優先度,事業者名,代表者,業種,エリア,サイト基盤,連絡手段,URL,受注率が高そうな理由,出せる同業実績,接触状況,提案,指摘,選定理由
S,四ッ橋せんべい,記載なし,せんべい製造・直売,東松山市松葉町,Wix無料,y.senbei@nifty.com,https://yothuhashisenbei.wixsite.com/homepage,地元産米の手焼き直売店。注文は電話・メール・FAXのみで価格の記載なし・LINEなし。お知らせは2026年9月に更新あり,店舗の制作実績,送信済み 2026-09-18（下書きから送信）,hp,,営業中で更新意欲もあるのに、注文までの道が電話・FAXだけ。デザイン案で差が出やすい
S,株式会社カネミツ設備,記載なし,給排水・空調設備・水回りリフォーム,秩父市熊木町,Jimdo無料,kskouji2@ps.ksky.ne.jp,https://kanemitusetubi.jimdofree.com/,60代向け水回りリフォームを訴求・採用ページあり。料金なし・LINEなし・メールが保護表示で読めない,株式会社西辻工務店様,送信済み 2026-09-18（下書きから送信）,hp,,リフォームと採用の両方で見せ方が効く。問い合わせの入口が弱い
S,有限会社鈴木自動車整備工場（ホリデー車検）,鈴木,自動車整備・車検・鈑金,比企郡滑川町福田,Jimdo無料,suzukig@truck-suzukou.co.jp,https://suzukiji.jimdofree.com/,お客様の声が9ページに分割・料金なし・お知らせは2026年9月更新・LINE IDあり,店舗の制作実績,送信済み 2026-09-18（下書きから送信）,hp,,お客様の声という資産があるのに見せ方で損をしている
S,Nail Salon & School Crystal Rose,記載なし,ネイルサロン・ネイルスクール,熊谷市中央,Jimdo無料,la.crystal.rose@gmail.com,https://nail-crystalrose.jimdofree.com/,NAIL EXPOファイナリストのオーナー。予約はメール・Instagram DM・LINE。トップに料金なし・最新情報が2025年4月,Matsumi様,送信済み 2026-09-18（下書きから送信）,both,,LINE・Instagramで動いている。予約までの導線の診断とデザイン案のどちらにも反応しうる
A,古民家フィット 本庄早稲田店,記載なし,レンタルジム・パーソナルトレーニング,本庄市朝日町,Wix無料,es2001games@yahoo.co.jp,https://lighthouseokegawa.wixsite.com/kominkafit,本庄市。電話なし・お知らせの日付なし・LINEなし。予約は外部サイト,パーソナルジムMe様,送信済み 2026-09-18（下書きから送信）,hp,,地元本庄。ジムの実績が直撃
A,鉱物・鉱石の桐生,記載なし,天然石・鉱物標本・ハンドメイド小売,深谷市武蔵野,Wix無料,miyoyosi6.26@gmail.com,https://miyoyosi626.wixsite.com/website,ワークショップも開催。ナビに「新しい項目」が残る・お知らせに年の記載なし・LINEなし,店舗の制作実績,送信済み 2026-09-18（下書きから送信）,hp,,商品とワークショップという見せ場があるのにサイトが未整理
A,株式会社KsY,記載なし,足場・塗装・リフォーム・外構,深谷市折之口,Wix無料,ksy@ksy.life,https://kokuyama3.wixsite.com/my-site,サイトタイトルがキーワード羅列・テンプレート由来のページ名が残る・料金なし・LINEなし,株式会社西辻工務店様,送信済み 2026-09-18（下書きから送信）,hp,,工務店の実績が使える。検索での見え方から直せる
A,Healing salon オリーブの木,記載なし,整体・リラクゼーション,児玉郡上里町七本木,Jimdo無料,healing-yoyaku@ksf.biglobe.ne.jp,https://olivetreeolivetree.jimdofree.com/,本庄・深谷からも対応。LINE公式・Instagramあり。電話なし・トップに料金なし・メールが保護表示,Matsumi様,送信済み 2026-09-18（下書きから送信）,both,,上里町は本庄の隣。LINE公式があるので導線の診断が通じる
A,有限会社白根自動車,白根,自動車整備・車検・販売,行田市城西,Wix無料,syacho@sakitama.or.jp,https://yukioshiranesyacho.wixsite.com/siranejidousha,シトロエン対応の整備工場。料金なし・LINEなし・著作権表記がWixテンプレートのまま,店舗の制作実績,送信済み 2026-09-18（下書きから送信）,hp,,専門性があるのにテンプレートのまま。デザイン案の差が分かりやすい
A,寿相馬（出張パソコン修理）,相馬,出張パソコン修理,羽生市（行田・熊谷・深谷も対応）,Wix無料,kotobukisouma@yahoo.co.jp,https://kotobukisouma.wixsite.com/kotobukisouma,料金表あり・LINE IDあり。修理履歴の更新が2021年で止まっている・住所の記載なし,店舗の制作実績,送信済み 2026-09-18（下書きから送信）,hp,,料金を出せている珍しい例。更新の止まりと入口の弱さを整えるだけで良くなる
