優先度,事業者名,代表者,業種,エリア,サイト基盤,連絡手段,URL,受注率が高そうな理由,出せる同業実績,接触状況,提案,指摘,選定理由
S,海沼音楽教室,記載なし,ピアノ（0歳〜）,川越市,Jimdo,sax_flute_musicschool@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://kainumamusic-school.jimdofree.com/,料金の記載なし・LINE導線なし・Jimdoのサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・LINE導線なし・Jimdoのサイト（広告表示・自作）
S,ひろさき音楽教室,記載なし,ピアノ・エレクトーン,さいたま市南区,Jimdo,piano.hirosaki@gmail.com（サイトに記載・自動抽出で確認）,https://mfmusicroom.jimdofree.com/,料金の記載なし・Jimdoのサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・Jimdoのサイト（広告表示・自作）
S,栩野音楽教室,記載なし,歌・ピアノ,川口市安行,Jimdo,etsuconoheya@gmail.com（サイトに記載・自動抽出で確認）,https://pianoonngakudou.jimdofree.com/,料金の記載なし・Jimdoのサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・Jimdoのサイト（広告表示・自作）
S,個別指導塾エイム・ワン,記載なし,学習塾,所沢市山口,Wix無料,aimone1aimone1@ybb.ne.jp（サイトに記載・自動抽出で確認）,https://aimone1aimone1.wixsite.com/aimone1aimone1,LINE導線なし・Wix無料のサイト（広告表示・自作）,ECCジュニア 一里山教室様・K-coaching様,未,hp,,スクール系（塾）・LINE導線なし・Wix無料のサイト（広告表示・自作）
S,タジマダンスアカデミー,記載なし,ストリートダンス・ポール,伊勢崎市中町105-3,Jimdo無料,kashyou0715@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://tajimadance.jimdofree.com/,料金の記載なし・Jimdo無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,未,hp,,スクール系（ダンス）・料金の記載なし・Jimdo無料のサイト（広告表示・自作）
S,BBOY SNACK,記載なし,ブレイクダンス・アクロバット,所沢市・新座市,Jimdo無料,s_na_ck@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://bboysnack.jimdofree.com/,料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,未,hp,,スクール系（ダンス）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）
S,やまさきピアノスクール,記載なし,ピアノ教室,さいたま市見沼区,アメブロ,yamasaki_piano_school@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://ameblo.jp/yamasakipiano/,料金の記載なし・LINE導線なし・アメブロのみでホームページなし,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・LINE導線なし・アメブロのみでホームページなし
S,長浜ピアノ教室,記載なし,ピアノ教室,加須市,Wix無料,nagahama.piano@gmail.com（サイトに記載・自動抽出で確認）,https://nagahamapiano.wixsite.com/kazo,料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）
S,I's英語教室,記載なし,英会話教室,北足立郡伊奈町,Jimdo無料,nakanisi.aiko@gmail.com（サイトに記載・自動抽出で確認）,https://isenglish.jimdofree.com/,料金の記載なし・Jimdo無料のサイト（広告表示・自作）,Yuma English House様,未,hp,,スクール系（英会話）・料金の記載なし・Jimdo無料のサイト（広告表示・自作）
S,個別指導ひだまり塾,記載なし,学習塾,川越市,Jimdo無料,hidamari.kobetu@gmail.com（サイトに記載・自動抽出で確認）,https://hidamari-kobetu.jimdofree.com/,料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,ECCジュニア 一里山教室様・K-coaching様,未,hp,,スクール系（塾）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）
