優先度,事業者名,代表者,業種,エリア,サイト基盤,連絡手段,URL,Instagram,受注率が高そうな理由,出せる同業実績,接触状況,提案,指摘,選定理由
S,イルクパークダンススタジオ,記載なし,K-POPダンススクール,東京都新宿区,Wix無料,ilkpark_entertainment@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://ilkpark02.wixsite.com/ilkparkdancestudio,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,Mキッズダンス,記載なし,キッズダンス,千葉県船橋市,Wix無料,m.kidsdance02@gmail.com（サイトに記載・自動抽出で確認）,https://mkidsdance202222.wixsite.com/website,https://www.instagram.com/m.kidsdance02/,Instagramを運用中（@m.kidsdance02）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,未,insta,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,Cheerful Style,記載なし,キッズチアダンス,東京・神奈川,Wix無料,fairytailcheer@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://cheerfulstyle.wixsite.com/kids,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,YOPIMダンススクール,記載なし,ダンススクール,大阪市（梅田）,Jimdo無料,dancer.yoshika@gmail.com（サイトに記載・自動抽出で確認）,https://yoppink.jimdofree.com/,https://www.instagram.com/yopimdanceschool/,Instagramを運用中（@yopimdanceschool）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,未,insta,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,QueeNダンススクール,記載なし,ダンススクール,大阪,Jimdo無料,queen.danceschool.k@gmail.com（サイトに記載・自動抽出で確認）,https://queendanceschool.jimdofree.com/,https://www.instagram.com/queen_dance_osaka/,Instagramを運用中（@queen_dance_osaka）・料金の記載なし・Jimdo無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,未,insta,,Instagramは動いているがホームページが弱い・料金の記載なし・Jimdo無料のサイト（広告表示・自作）
S,R/S DANCE SCHOOL,記載なし,ダンススクール,神戸市西区・北区,Jimdo無料,ricchan1029kr@gmail.com（サイトに記載・自動抽出で確認）,https://rsdanceschool.jimdofree.com/,https://www.instagram.com/rsdanceschool/,Instagramを運用中（@rsdanceschool）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,ShakeHands DANCE STUDIO,記載なし,ダンススタジオ,福岡,Wix無料,shake.hands.dance@gmail.com（サイトに記載・自動抽出で確認）,https://shakehandsdance.wixsite.com/website,https://www.instagram.com/shakehandsdance/,Instagramを運用中（@shakehandsdance）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,C.C.E ココナッツエナジー,記載なし,ダンススタジオ,福岡市西区,Wix無料,c.c.e.dance.info@gmail.com（サイトに記載・自動抽出で確認）,https://swaaag21211.wixsite.com/coconutenergy,https://www.instagram.com/c.c.e_coconutenergy/,Instagramを運用中（@c.c.e_coconutenergy）・料金の記載なし・Wix無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・Wix無料のサイト（広告表示・自作）
S,Emanation Crew ダンススタジオ,記載なし,ダンススタジオ,福岡市早良区,Wix無料,ema0931@gmail.com（サイトに記載・自動抽出で確認）,https://emanationcrew.wixsite.com/mysite-5,https://www.instagram.com/emannu9/,Instagramを運用中（@emannu9）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,Flapper ダンス＆ピラティス,記載なし,ダンス・ピラティス,静岡県藤枝市,Wix無料,flapperty3@gmail.com（サイトに記載・自動抽出で確認）,https://flapperty3.wixsite.com/flapper,https://www.instagram.com/flapper_dance_official/,Instagramを運用中（@flapper_dance_official）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
