優先度,事業者名,代表者,業種,エリア,サイト基盤,連絡手段,URL,受注率が高そうな理由,出せる同業実績,接触状況,提案,指摘,選定理由
S,(有)大須賀造園,記載なし,造園・外構,深谷市原郷,Jimdo無料,osukazouen@gmail.com（お問い合わせページに記載・Cloudflare保護を復号）,https://osukazouen.jimdofree.com/,料金なし（見積もり随時のみ）・公式LINEなし・Jimdo無料の広告表示・2025年5月に農場即売会を告知しており営業中,工務店,未,hp,,無料サイトで営業中・料金とLINE導線がなく更新意欲もある
S,合気道 東松山 金子道場,記載なし,教室（合気道道場）,東松山市箭弓町,Wix無料,aiki.kanekodojo@gmail.com（お問合せページに記載）,https://kanekodojo.wixsite.com/aiki-kanekodojo,会費・料金の記載なし・LINEなし・「中高生クラス始めました」の新クラス告知あり・Wix無料の広告表示,教室,未,hp,,無料サイトで営業中・料金とLINEがなく新クラス募集で更新意欲がある
S,キックボクシングジムWonderland,記載なし,キックボクシングジム・フィットネス,所沢市御幸町,Jimdo無料,a-wonderland@infoseek.jp（トップページの連絡先欄に記載）,https://wonderland-avis.jimdofree.com/,料金なし・LINEなし・予約は電話かフォームのみ・jimdofree広告付き・お知らせは2025.12が最新,教室/フィットネスの制作実績,未,hp,,無料Jimdoで営業中かつ料金もLINE導線もなく、駅近ジムなのに集客の受け皿がない
S,Maile lau li'i Hula Studio（マイレ ラウリイ フラ スタジオ）,記載なし,フラダンス教室,入間市（狭山・青梅にもクラス）,Jimdo無料,lei_maile_212@yahoo.co.jp（トップページとお問い合わせページに記載）,https://leimaile.jimdofree.com/,料金なし・LINEなし・問い合わせは電話とメールのみ・2026年8月のイベント告知まで更新は活発だが長文の縦積みでスマホで読みにくい,教室/ダンススクールの制作実績,未,hp,,更新意欲が高いのにサイトが無料Jimdoのままで料金・LINE・体験申込の導線が整っていない
A,La Cocina（ラ・コシーナ）,記載なし,飲食（バー・パーティー会場）,秩父市番場町,Wix無料,livelacocina@gmail.com（トップ・LOCATIONページに記載）,https://livelacocina.wixsite.com/la-cocina,LINEなし・予約は電話かメールのみ・営業日が分かりにくい・Wix無料の広告表示,飲食,未,hp,,秩父の営業中の飲食店で無料サイト・LINEと予約導線が弱い
A,みかん狩り 久保園,記載なし,農産物直売（観光農園）,寄居町金尾,Jimdo無料,kuboen.mikan@gmail.com（トップページに「■→@」表記で記載）,https://kuboen-mikan.jimdofree.com/,LINEなし・予約導線なし（電話とメールのみ）・料金は800円の一行のみ・「2026年も10月20日から開園」と告知しており営業中,店舗の制作実績,未,hp,,10月開園直前で集客ページの需要が高く・無料サイトでLINEと予約導線がない
A,新井鍛冶店,記載なし,刃物製造・研ぎ（工房）,本庄市児玉町,Jimdo無料,araikajiten@gmail.com（お問合せページに記載・Cloudflare保護を復号）,https://arai-kajiten.jimdofree.com/,電話番号の記載なし・LINEなし・料金は「包丁研ぎ500円〜」の一行のみ・営業日は木〜日で記載あり,店舗の制作実績,未,hp,,営業中の職人店で無料サイト・問い合わせ導線が弱く商品の魅力が伝わっていない（代表の地元・児玉町）
A,エステサロン Lull（ラル）,記載なし,美容（エステ）,本庄市見福,Wix無料,lull@catnet.jp（トップ・CONTACTページに記載）,https://lullinformation.wixsite.com/lull,LINEなし・完全予約制なのに予約は電話かメールのみ・コピーライトが2014年のまま,美容,未,hp,,無料サイトでLINEと予約導線がない美容サロン（更新が古いので営業状況は初回接触で要確認）
A,慶葉進学アカデミー,記載なし,学習塾,坂戸市日の出町,Jimdo無料,ksa150301@yahoo.co.jp（トップページ・校舎案内・問い合わせページに記載）,https://ksa150301.jimdofree.com/,料金なし・2026.4/16に実績更新あり・LINE友だち追加はあるが無料Jimdoで駅前塾としては信頼感が弱い,教室/学習塾の制作実績,未,hp,,毎年きちんと更新している営業中の塾で、料金と体験申込の整理だけで問い合わせが増えやすい
A,らーめん さいか,記載なし,飲食（ラーメン店）,春日部市銚子口,Wix無料,saika3@tk2.so-net.ne.jp（トップページの連絡先欄に記載）,https://ra-mensaika.wixsite.com/saika,創業41年・令和8年版メニュー画像を掲載する営業中の店だがメニューは画像貼り付けで文字が読めない・LINEなし,飲食の制作実績,未,hp,,長く続く地元店がWix無料のままで、メニューと営業時間が見やすいだけで来店が増える余地が大きい
A,探究塾,記載なし,学習塾,上尾市川,Wix無料,tankyujuku.ageo@gmail.com（トップページと各ページの連絡先欄に記載）,https://tankyujukuageo2.wixsite.com/tankyujuku2,料金なし・LINEなし・体験授業は随時受付と明記し営業中・wixsite広告付き,教室/学習塾の制作実績,未,hp,,営業中の個人塾で料金・体験の導線が全くなく、無料Wixから乗り換える動機がはっきりしている
A,フジワラ工務店,藤原裕也,工務店・リフォーム,さいたま市南区曲本,Jimdo無料,fujiwarahiroya@jcom.home.ne.jp（トップページ・お問い合わせ・aboutページに記載）,https://fujiwarakoumutenn.jimdofree.com/,料金目安なし・LINEなし・連絡は携帯電話とメールとFAX・施工例は掲載しているが無料Jimdoの縦積みでスマホで見づらい,工務店/リフォームの制作実績,未,hp,,大工直営・二級建築士の強みがあるのに無料Jimdoで信頼感を損ねており、実績の見せ方を整えれば受注につながりやすい
A,Laki wax（ラキワックス）,記載なし,ブラジリアンワックス脱毛サロン,狭山市入間川,Jimdo無料,lakiwax@gmail.com（トップページ・メニュー・アクセス・予約ページに記載）,https://lakiwax.jimdofree.com/,料金なし・LINE IDはあるが予約はフォーム/メール・スマホで使いにくいと自覚する注意書きあり・営業中,美容サロンの制作実績,未,hp,,スマホで使いにくいと自覚があるサロンで、料金掲載とLINE予約への一本化を提案しやすい
A,ayur space えん（アーユルスペースえん）,記載なし,アーユルヴェーダサロン,春日部市西金野井,Jimdo無料,ayurspace.en@gmail.com（トップページ・コース案内・アクセス・aboutページに記載）,https://ayur-youjyou.jimdofree.com/,コース名はあるが金額なし・LINEはQRのみ・2026.9.30のイベント告知まで更新は活発だが無料Jimdoの長文構成でスマホで読みにくい,美容サロンの制作実績,未,hp,,更新意欲が高く営業中の女性向けサロンで、料金と予約導線の整理だけで問い合わせが増えやすい
A,大宮レインボートランポリンクラブ,齊藤弘幸,トランポリン教室,さいたま市（大宮・岩槻で活動）,Wix無料,oomiya.rainbow.tc.contact@gmail.com（お問合せページに記載）,https://oomiyarainbowtc.wixsite.com/home,料金なし・LINEなし・電話番号もなくメールのみ・8/12体験教室の告知など更新はある,教室/スポーツ教室の制作実績,未,hp,,3歳から大人まで体験受付中の教室なのに料金と申込導線がなく、無料Wixから整える提案が刺さりやすい
A,個別指導塾エイム・ワン,記載なし,学習塾,所沢市山口,Wix無料,aimone1aimone1@ybb.ne.jp（トップページと各ページの連絡先欄に記載）,https://aimone1aimone1.wixsite.com/aimone1aimone1,料金は一部掲載だがLINEなし・夏期入塾キャンペーンを載せて営業中・wixsite広告付きで古い構成,教室/学習塾の制作実績,候補（次回・30件枠外）,hp,,営業中の個人塾で無料Wixのまま。料金の整理とLINE導線の追加で体験申込が増える余地がある
B,加須手打ちうどん・そば こぶし,記載なし,飲食（うどん・そば）,加須市下高柳,Wix無料,kobushi.kazoshi@gmail.com（トップページに記載）,https://kobushikazoshi.wixsite.com/mottocom,コピーライト2017年のまま・Wix無料の広告表示・テイクアウトの注文導線がない（電話のみ）・料金とLINEは掲載済み,飲食,候補（次回・30件枠外）,hp,,営業中の飲食店で無料サイト（料金・LINEはあるため優先度はB）
B,music house NEVERLAND,記載なし,宿泊・音楽スタジオ（バンド合宿）,神川町矢納,Wix無料,ken.murakami@music-house-neverland.com（トップページに記載）,https://kenmurakami.wixsite.com/neverland,LINEなし・更新日やお知らせの日付なし・Wix無料の広告表示・料金と予約フォームは掲載済み,店舗の制作実績,候補（次回・30件枠外）,hp,,無料サイトで営業中・料金はあるがLINEと更新の動線が弱い
B,サロン・ミミー（耳掃除専門店）,記載なし,美容（耳掃除サロン）,本庄市南,ペライチ,smm20250114@gmail.com（トップページに記載）,https://salonmimi.hp.peraichi.com/,電話番号がダミーのまま・1ページ構成で情報が薄い・2026年1月にコースを更新しており営業中・料金とLINEは掲載済み,美容,候補（次回・30件枠外）,both,,営業中で更新意欲はあるがペライチ1枚のままで集客改善の余地が大きい
