優先度,事業者名,代表者,業種,エリア,サイト基盤,連絡手段,URL,受注率が高そうな理由,出せる同業実績,接触状況,提案,指摘,選定理由
S,さかまきひとみピアノ教室,坂巻 ひとみ,ピアノ教室,熊谷市代,Crayon無料,hitomipiano43@gmail.com,https://pianoroom712.crayonsite.net/,LINE公式あり＝集客に前向き。無料作成サービス製で月謝の記載なし,Colours Musical Studio様,送信済み（2026-09-16頃・下書きから送信）,both,,LINEを使っている教室は導線の話が通じやすい。デザイン案と診断のどちらにも反応しうる
S,アルク Kiddy CAT 英語教室 連取町校,神澤,子ども英語・書道,伊勢崎市連取町,Wix無料,tsunatorikids@gmail.com,https://tsunatorikids.wixsite.com/hptsunatorikids,英語と書道の2教室を1サイトで運営・料金は別ページ・LINEなし,Yuma English House様,送信済み（2026-09-16頃・下書きから送信）,hp,,英会話の実績が直撃。2教室分の導線整理はデザイン案で差が出る
S,ミュージックスクールM♪,記載なし,ピアノ・フルート教室,伊勢崎市,Jimdo無料,m.pianoflute@gmail.com,https://m-pianoflute.jimdofree.com/,"開校40年・体験2,000円ありだが案内がページ下部・LINEはIDのみ",Colours Musical Studio様,送信済み（2026-09-16頃・下書きから送信）,hp,,歴史ある教室でサイトだけが古い典型。デザイン案が刺さる
S,MAKIピアノ教室,記載なし,ピアノ教室,藤岡市上戸塚,Wix無料,maki.piano.0529@gmail.com,https://makipiano0529.wixsite.com/maki-piano-lesson/home,無料体験あり・春の入会受付中の告知（日付なし）・料金記載なし,Colours Musical Studio様,送信済み（2026-09-16頃・下書きから送信）,hp,,募集に前向きだが情報が足りない。1ページ整えるだけで変わる
A,フルート教室おかむら,岡村 和子,フルート教室,熊谷市（熊谷駅徒歩7分）,Wix無料,manaflute_kazuko@yahoo.co.jp,https://kazukohappypinetre.wixsite.com/website,体験申込がメールのみ・料金記載なし・フッターが2019年のまま,Colours Musical Studio様,送信済み（2026-09-16頃・下書きから送信）,hp,,駅近で立地は良い。申込導線が弱いのでデザイン案で違いを見せやすい
A,川田千晶ピアノ教室,川田 千晶,ピアノ教室,熊谷市銀座・宮町,Wix無料,pianochiaki@yahoo.co.jp,https://pianochiaki.wixsite.com/chiakikawata,料金・住所の記載なし・フッターがテンプレート文言のまま・最新情報は外部ブログ頼み,Colours Musical Studio様,送信済み（2026-09-16頃・下書きから送信）,hp,,演奏活動もされていて素材がある。見せ方だけの問題
A,ＫＣＳダンスサークル,記載なし,ダンス（ヒップホップ・ジャズ）,鴻巣市本町,Wix無料,kcscircle@gmail.com,https://kcsdancecircle.wixsite.com/mysite1,未経験・ブランク可を掲げるが体験の案内なし・電話とLINEなし,DANCE STUDIO PLUS様,送信済み（2026-09-16頃・下書きから送信）,hp,,ダンス実績が直撃。入口が1つもないのでデザイン案の差が分かりやすい
A,伊勢崎豊受合気会,記載なし,合気道,伊勢崎市（境武道館）,Jimdo無料,yamachyou728@yahoo.co.jp,https://toyoukeaikikai.jimdofree.com/,公益財団法人合気会の登録道場・料金記載なし・休止中の表記が残る・2024年10月から更新なし,教室100社以上,送信済み（2026-09-16頃・下書きから送信）,hp,,武道系は信頼が要る業種。整ったサイトの効果が出やすい
A,My art works イラスト・漫画コーチング教室,記載なし,イラスト・漫画教室,前橋市南町,Wix無料,myartworks220103@gmail.com,https://myartworks220103.wixsite.com/myartworks,料金は明記・LINE公式あり。予約状況が令和5年8月のまま・フォームなし,教室100社以上,送信済み（2026-09-16頃・下書きから送信）,hp,,料金とLINEは整っている。古い表示の更新と入口の整理で伸びしろ
A,米山ピアノ教室,米山,ピアノ教室,高崎市双葉町,Jimdo無料,4405yyone@gmail.com,https://yoneyama-piano.jimdofree.com/,指導歴40年以上・最新のお知らせが2020年6月・料金と対象年齢の記載なし,Colours Musical Studio様,送信済み（2026-09-16頃・下書きから送信）,hp,,実績はあるがサイトが5年以上止まっている。作り直しの提案が通りやすい
