優先度,事業者名,代表者,業種,エリア,サイト基盤,連絡手段,URL,受注率が高そうな理由,出せる同業実績,接触状況,提案,指摘,選定理由
S,いのくま会計事務所,猪熊（税理士・行政書士）,税理士・行政書士,群馬県伊勢崎市連取町,Jimdo無料,inokuma.tax.office@gmail.com / 070-5591-1192,https://inokuma-taxoffice.jimdofree.com/,2025年1月開業で顧問先開拓中・サイトはJimdo無料・伊勢崎は本庄の隣,士業パートナー案内,送信済み（2026-09-16頃・下書きから送信）,shigyo,,開業2年目で顧問先を増やしたい時期。事務所サイト無料＋相互紹介が最も刺さる
A,白幡行政書士事務所,白幡,行政書士（相続・遺言）,埼玉県上尾市,Jimdo無料,ageo@shirahatagsj.com / 048-782-9446,https://ageosouzokugsj.jimdofree.com/,相続・遺言の無料相談を前面に出しており集客意欲が高い・サイトはJimdo無料,士業パートナー案内,送信済み（2026-09-16頃・下書きから送信）,shigyo,,相続案件は高齢の親を持つ経営者から出やすく、顧問先紹介の相互性が作りやすい
A,吉田行政書士事務所,吉田,行政書士（相続・遺言・経営支援）,埼玉県鶴ヶ島市・坂戸市,Jimdo無料,y-mas@tbz.t-com.ne.jp,https://y-masgpr.jimdofree.com/,「経営」メニューで中小企業支援を掲げている・サイトはJimdo無料で情報量が多く整理されていない,士業パートナー案内,送信済み（2026-09-16頃・下書きから送信）,shigyo,,中小企業の経営支援を扱う先生は顧問先からHP相談を受けやすい
A,えはら行政書士事務所,江原,行政書士（許認可・農業）,埼玉県白岡市,Jimdo無料,ehara-gyousei@ab.auone-net.jp / 0480-97-0115,https://ehara-gyousei.jimdofree.com/,許認可・開業手続きが中心で開業者との接点が多い・サイトはJimdo無料,士業パートナー案内,送信済み（2026-09-16頃・下書きから送信）,shigyo,,開業・許認可の相談先＝新規事業者のHP需要に一番近い位置
S,子ども体操クラブ ジム・ヴィレッジ,記載なし,子ども体操教室,本庄市（寄居校あり）,Wix無料,gymvillage2020@gmail.com,https://gymvillage2020.wixsite.com/site,本庄市の教室×Wix無料×1ページ構成で体験申込の案内が最下部のみ,教室100社以上・DANCE STUDIO PLUS様,送信済み（2026-09-16頃・下書きから送信）,hp,,地元本庄の子ども向け教室。1ページ構成なのでデザイン案の差が一目で伝わる
S,OOTA DOJO ANNEX,記載なし,総合格闘技・キックボクシング,熊谷市（熊谷駅徒歩5分）,Jimdo無料,juuuuuuuuuun1@outlook.com（サイト掲載の唯一のアドレス）／フォーム,https://ootadojoannex.jimdofree.com/,K-1アマチュア公認ジム×Jimdo無料×料金・体験案内・住所の記載なし,教室100社以上,送信済み（2026-09-16頃・下書きから送信）,hp,,実績がある道場なのに入会の入口が見えない。デザイン案で差が伝わる
S,北川ミュージックアカデミー,北川,ピアノ教室,深谷市田所町,Wix無料,kma.2y@kve.biglobe.ne.jp,https://kitagawama.wixsite.com/home,Wix無料でページURLが自動採番のまま・料金記載なし・2026年7月にInstagram開設で発信意欲あり,Colours Musical Studio様,送信済み（2026-09-16頃・下書きから送信）,hp,,発信を始めた直後で、受け皿のHPを整えたい時期
S,M&Dスクール,記載なし,ストリートダンス・社交ダンス,前橋市総社町,Wix無料,poppingsean@yahoo.co.jp,https://poppingsean.wixsite.com/mdschool,2026年コンテスト受賞実績あり×Wix無料×フォーム・LINEなし,DANCE STUDIO PLUS様・Colours Musical Studio様,送信済み（2026-09-16頃・下書きから送信）,hp,,実績があるのにサイトが弱い典型。デザイン案で差が出やすい
S,YUI BALLET CLASSIC,記載なし,バレエ・テーマパークダンス,前橋市国領町,Jimdo無料,yuiballetclassic@gmail.com,https://yuiballetclassic.jimdofree.com/,無料体験受付中・10周年発表会実施×Jimdo無料×LINEなし・電話は「レッスン中は出られません」と注記,DANCE STUDIO PLUS様・Colours Musical Studio様,送信済み（2026-09-16頃・下書きから送信）,both,,募集活発で導線の弱さが明確。デザイン案と診断のどちらにも反応しうる
S,古澤ミュージックスクール,古澤,ピアノ・エレクトーン教室,伊勢崎市東町,ホームページビルダー製の独自ドメイン＋大人向けペライチ,pokopoko200@gmail.com,https://furusawa-music-school.com/,LINE公式・入会キャンペーンあり＝集客に前向き。本家はホームページビルダー製で、子ども向けページに体験・LINEの入口がない,Colours Musical Studio様・Yuma English House様,送信済み（2026-09-16頃・下書きから送信）,hp,,9/15 しゅん指示で診断型からプレビュー型に変更（初稿の指摘がペライチの大人向けページだけを見た誤りだったため）
